variable,relative_importance,scaled_importance,percentage
Cabin,4316.16943359375,1.0,0.3765350707731157
Ticket,2777.607421875,0.6435353070841556,0.24231361239793128
Fare,1477.701904296875,0.3423642021083736,0.12891212907105773
Age,1140.2342529296875,0.26417736154076327,0.09947204152440627
PassengerId,766.760009765625,0.1776482646389536,0.06689080189854958
Pclass,430.157470703125,0.09966185927621594,0.03752618523595027
SibSp,175.56411743164062,0.040675909538023296,0.015315906476660455
Parch,136.47496032714844,0.0316194631436227,0.011905836792591896
Sex,124.50198364257812,0.02884548105863274,0.010861335251896849
Survived,117.69012451171875,0.027267262400708637,0.010267080577839944
