variable,relative_importance,scaled_importance,percentage
Fare,4410.74951171875,1.0,0.3504652554197699
Cabin,2863.013427734375,0.649099074914081,0.22748667308249976
Ticket,2842.16259765625,0.6443717989663702,0.22582992711004557
Age,1091.11328125,0.24737593426039345,0.08669666998527299
SibSp,342.5201721191406,0.077655775103327,0.027215651056407705
PassengerId,307.6455078125,0.06974903176775932,0.024444612233769415
Parch,235.70458984375,0.05343867050656936,0.018728397308377758
Embarked,229.67681884765625,0.05207206127607945,0.018249448255355093
Survived,200.91607666015625,0.04555145925343303,0.015964203801997645
Sex,61.90967559814453,0.014036089656340517,0.004919161746504169
