variable,relative_importance,scaled_importance,percentage
Fare,3287.382568359375,1.0,0.3053193320723882
Ticket,3237.356201171875,0.9847823105016748,0.30067307727907455
Cabin,2409.56982421875,0.7329751783107152,0.22379149186746722
Age,695.8323974609375,0.21166760575974114,0.06462621201192575
SibSp,258.655029296875,0.07868114644957835,0.02402287508067502
PassengerId,248.48458862304688,0.0755873657707741,0.023078284030244048
Embarked,198.7619171142578,0.06046205848607799,0.018460235312691003
Survived,189.93817138671875,0.057777933488742286,0.017640720061305664
Parch,173.76161193847656,0.05285713126634826,0.016138304013503996
Sex,67.28821563720703,0.020468629445458297,0.006249468270724545
