variable,relative_importance,scaled_importance,percentage
Sex,249.56649780273438,1.0,0.25446665440976673
Age,170.34747314453125,0.6825734809933485,0.17369219009720588
Cabin,137.5976104736328,0.5513464815393392,0.14029929457791185
PassengerId,117.14524841308594,0.46939492858404985,0.11944535707369454
Ticket,98.75151824951172,0.3956922067623363,0.10069047203082938
Fare,98.04585266113281,0.3928646413856058,0.09997095092928787
SibSp,36.49026870727539,0.1462146122518356,0.03720674320554589
Parch,29.74555206298828,0.11918888282232558,0.030329596254634904
Pclass,21.94905662536621,0.08794873037291837,0.02238001917758317
Embarked,21.104345321655273,0.08456401603366188,0.02151872224353981
