variable,relative_importance,scaled_importance,percentage
Sex,229.652099609375,1.0,0.3498074701042324
Cabin,159.57150268554688,0.6948401645661799,0.24306028009370392
Age,52.93098831176758,0.2304833633213027,0.08062480222453954
Ticket,50.4104118347168,0.21950773330817355,0.07678544485684674
Fare,46.29324722290039,0.20157989977728286,0.07051415476495604
PassengerId,46.10138702392578,0.20074446130621748,0.07022191214696491
Pclass,33.072471618652344,0.14401118768305063,0.05037618923011374
SibSp,13.700016021728516,0.059655522614561134,0.020867947443545455
Parch,13.33572006225586,0.05806922769240582,0.020313049629987114
Embarked,11.442148208618164,0.049823834522221215,0.01742874950511012
