variable,relative_importance,scaled_importance,percentage
Fare,672.0650024414062,1.0,0.4077682629383322
Cabin,485.61248779296875,0.7225677367946365,0.29464019088803095
Ticket,320.352294921875,0.47666861651496995,0.1943703337535273
SibSp,57.074546813964844,0.08492414663258836,0.03462937175389077
Age,49.17448425292969,0.07316923820507518,0.02983609316340456
Embarked,21.206241607666016,0.03155385495544365,0.012866660624189343
Parch,21.007213592529297,0.031257710959827587,0.012745902501517362
Survived,8.256388664245605,0.012285104319154657,0.005009475648237897
PassengerId,8.041297912597656,0.011965059753723351,0.00487897163172912
Sex,5.364308834075928,0.007981830350619416,0.003254737097140538
