variable,relative_importance,scaled_importance,percentage
Cabin,2972.710693359375,1.0,0.360099425701416
Ticket,2101.6875,0.7069936219137906,0.25458799722572
Fare,1111.7816162109375,0.3739959016847835,0.1346757094113738
Age,807.1864013671875,0.2715321081093866,0.09777855618968492
PassengerId,582.9351806640625,0.19609549693694014,0.07061387582962592
Pclass,275.5041198730469,0.0926777437469731,0.03337320229858801
SibSp,129.51202392578125,0.04356697885707251,0.015688444065977542
Parch,101.2996826171875,0.03407653588473207,0.012270941001985712
Sex,88.51606750488281,0.029776213239524275,0.010722397287115592
Survived,84.11646270751953,0.02829621560396849,0.010189450988512498
