variable,relative_importance,scaled_importance,percentage
Fare,758.3944702148438,1.0,0.43912494427654936
Ticket,454.4104919433594,0.5991743212666497,0.2631123904381568
Cabin,328.4656677246094,0.4331066227731844,0.19018792159107908
SibSp,49.21650695800781,0.06489565640433188,0.02849730150234233
Age,47.67523956298828,0.06286337972570195,0.02760487811908443
Embarked,28.099225997924805,0.03705093734394535,0.01626999079655392
Parch,25.429201126098633,0.03353030925831363,0.014723995184632438
Survived,20.50838851928711,0.027041848701082085,0.01187475030399755
PassengerId,10.206913948059082,0.013458581712980568,0.005909998944753978
Sex,4.652400016784668,0.006134538422289262,0.0026938288428501227
