variable,relative_importance,scaled_importance,percentage
Ticket,11302.67578125,1.0,0.3276183020851985
Fare,5802.04833984375,0.5133340504616406,0.16817763001476027
Cabin,5587.0224609375,0.49430971648375577,0.1619449100186239
Age,4067.83447265625,0.3599001290830953,0.11790986921044745
Pclass,3355.44384765625,0.29687163576102865,0.09726058124528371
PassengerId,2342.595703125,0.20726027610303838,0.06790225974658687
SibSp,706.4772338867188,0.06250530826149091,0.02047788296394158
Survived,483.5764465332031,0.04278424471269075,0.014016901608769375
Sex,466.9765319824219,0.04131557349960342,0.013535738039616295
Parch,384.8741149902344,0.03405159295365277,0.011155925066772031
