variable,relative_importance,scaled_importance,percentage
Ticket,498.1902770996094,1.0,0.28976848207408973
Age,294.7102966308594,0.5915617188408803,0.17141594132166135
Cabin,269.40447998046875,0.5407662340359232,0.1566970107935114
Fare,242.91615295410156,0.4875971373193466,0.14129028234469856
PassengerId,195.94638061523438,0.39331634843619473,0.11397068126127993
Pclass,73.05128479003906,0.1466333008651492,0.04248970901320759
SibSp,51.1751594543457,0.10272211604024062,0.02976563164041903
Survived,33.34534454345703,0.06693294926907994,0.019395059110443348
Parch,31.140121459960938,0.06250648174278742,0.018112408334399314
Sex,29.390567779541016,0.058994663546323274,0.01709479410628973
