variable,relative_importance,scaled_importance,percentage
Sex,283.7018737792969,1.0,0.2567575830234662
Age,170.77818298339844,0.6019635355537118,0.15455870245703138
PassengerId,153.0911102294922,0.5396196654964216,0.1385514410647925
Cabin,149.16029357910156,0.5257642171765823,0.134993949642484
Ticket,120.41651916503906,0.4244473875372283,0.10898008534468323
Fare,100.52495574951172,0.3543330694661331,0.09097770250141027
SibSp,40.13151931762695,0.14145665935518945,0.03632006995861223
Pclass,31.06721305847168,0.10950654870415173,0.02811663677051948
Embarked,30.380517959594727,0.10708606733852226,0.027495159825327117
Parch,25.688398361206055,0.0905471578985414,0.023248669411673643
