variable,relative_importance,scaled_importance,percentage
Ticket,2806.423583984375,1.0,0.29248982114797045
Cabin,2440.634521484375,0.8696600667883938,0.25436671739446937
Fare,1538.413818359375,0.5481759158306518,0.16033587557893225
Age,1033.881103515625,0.368398095503384,0.10775269306503774
PassengerId,776.98779296875,0.27686048442681416,0.08097887357293933
Pclass,366.29034423828125,0.13051855262641657,0.038175348114192556
SibSp,183.64183044433594,0.06543624828851152,0.019139436558500925
Sex,170.4063720703125,0.06072011831812672,0.01776001654695249
Survived,147.31204223632812,0.05249102205276661,0.015353089652087879
Parch,130.95303344726562,0.046661891738148505,0.013648128368917017
