variable,relative_importance,scaled_importance,percentage
Fare,4573.38525390625,1.0,0.3868423704166983
Ticket,2909.58154296875,0.6361986540459497,0.24610859538704813
Cabin,2090.65673828125,0.45713549640183154,0.17683937902969857
Age,907.9241333007812,0.19852343130841626,0.07679727475060431
SibSp,325.29571533203125,0.07112799321994305,0.02751532150018561
PassengerId,314.5613098144531,0.06878084664872218,0.026607345756859104
Parch,233.4921417236328,0.051054553412967114,0.019750064462838134
Embarked,232.95523071289062,0.05093715437900565,0.01970464954225585
Survived,178.30625915527344,0.03898780646195885,0.01508213546909163
Sex,56.19001007080078,0.01228630586561834,0.004752863684720382
