variable,relative_importance,scaled_importance,percentage
Fare,4020.46044921875,1.0,0.31657670149442496
Ticket,3318.095947265625,0.8253024719868572,0.26127153431679434
Cabin,3078.408447265625,0.7656855442674028,0.24239820398613784
Age,792.5281372070312,0.19712372431397357,0.06240477842961413
SibSp,380.6959533691406,0.09468964019857898,0.029976533959760035
PassengerId,310.17181396484375,0.07714833111344645,0.02442336418969459
Embarked,257.3974914550781,0.0640218936875987,0.020267839927046744
Parch,249.56520080566406,0.06207378581579113,0.019651114362834576
Survived,214.78155517578125,0.05342212860656726,0.016912201261078025
Sex,77.69391632080078,0.01932463142023898,0.006117728072614781
