variable,relative_importance,scaled_importance,percentage
Sex,169.60333251953125,1.0,0.271107037382725
Cabin,140.43112182617188,0.8279974204516297,0.22447592761917987
Fare,64.41248321533203,0.379783122527468,0.1029618771963823
Age,62.91333770751953,0.3709439948668139,0.10056552748325467
Ticket,54.47314453125,0.3211796827457795,0.08707407225673182
Pclass,54.22953796386719,0.31974335149117544,0.0866846727455959
PassengerId,31.37531280517578,0.1849923131761733,0.05015271796376959
Embarked,20.51700210571289,0.1209705127896009,0.03279595733305775
Parch,13.86166763305664,0.08172992492031578,0.02215755781065936
SibSp,13.778522491455078,0.08123969197284708,0.022024652208643723
