variable,relative_importance,scaled_importance,percentage
Ticket,11302.67578125,1.0,0.3276182997667626
Fare,5802.04833984375,0.5133340504616406,0.1681776288246282
Cabin,5587.0224609375,0.49430971648375577,0.16194490887259852
Age,4067.83447265625,0.3599001290830953,0.11790986837604207
Pclass,3355.444091796875,0.29687165736127885,0.0972605876336431
PassengerId,2342.595703125,0.20726027610303838,0.06790225926606722
SibSp,706.4772338867188,0.06250530826149091,0.02047788281902703
Survived,483.5764465332031,0.04278424471269075,0.014016901509576848
Sex,466.9765319824219,0.04131557349960342,0.013535737943828787
Parch,384.8741149902344,0.03405159295365277,0.011155924987825597
