variable,relative_importance,scaled_importance,percentage
Survived,271.3948059082031,1.0,0.24228766254435724
Fare,160.59490966796875,0.5917390685888386,0.1433710757645648
Age,147.7613525390625,0.5444516598045781,0.13191392002244678
Cabin,141.31085205078125,0.5206837012885883,0.1261552369101564
PassengerId,140.95394897460938,0.5193686316247548,0.12583661175522318
Ticket,99.07960510253906,0.36507553919824043,0.08845329904446254
SibSp,70.31256103515625,0.25907850667908083,0.06277152579875714
Embarked,34.159854888916016,0.1258677548179396,0.030496204104544844
Parch,33.970008850097656,0.12516823502358299,0.03032671908866667
Pclass,20.596750259399414,0.07589220504966511,0.018387744966820423
