variable,relative_importance,scaled_importance,percentage
Sex,280.80487060546875,1.0,0.2601537022243429
Cabin,159.80491638183594,0.5690959563388844,0.1480524199624638
PassengerId,141.3264617919922,0.5032906355479713,0.13093292213264718
Age,140.15411376953125,0.4991156793944931,0.12984679183269554
Ticket,107.0822982788086,0.38134060156406396,0.09920716930534929
Fare,101.66502380371094,0.3620486481751609,0.09418829620808669
SibSp,49.824520111083984,0.17743467199715174,0.046160286823020966
Embarked,38.75265121459961,0.13800562337484218,0.0359026738487435
Pclass,35.61135482788086,0.12681886447017818,0.03299239710380403
Parch,24.354433059692383,0.08673080708030309,0.022563340558846103
