variable,relative_importance,scaled_importance,percentage
Ticket,476.36358642578125,1.0,0.2525524065605933
Age,329.9225769042969,0.6925856348083812,0.17491416882015287
Cabin,303.25689697265625,0.6366080565645933,0.1607768967212503
Fare,266.4203796386719,0.5592794815356461,0.14124737900178833
PassengerId,255.45513916015625,0.5362608445302669,0.13543396683033507
Pclass,57.967323303222656,0.12168714182828104,0.03073238051621261
Sex,56.343257904052734,0.11827784387720233,0.02987135411398558
SibSp,54.91263198852539,0.11527462122061449,0.029112883004627027
Parch,43.164703369140625,0.09061293641903043,0.022884515158148162
Survived,42.39048385620117,0.08898766627874007,0.022474049272906756
