variable,relative_importance,scaled_importance,percentage
Fare,891.9650268554688,1.0,0.30166904897732477
Ticket,726.37060546875,0.8143487509028186,0.2456638132207256
Cabin,585.1077270507812,0.6559760858713469,0.19788768197667714
Age,281.362060546875,0.31544068665874503,0.0951586919530979
PassengerId,151.44984436035156,0.16979347821996169,0.05122143709716794
SibSp,100.5442123413086,0.11272214640047817,0.03400478270331502
Parch,84.20951080322266,0.09440898271549351,0.02848026803069962
Embarked,70.2066650390625,0.07871010961782762,0.02374440391331104
Survived,39.5529670715332,0.04434362994138137,0.01337710067261894
Sex,25.9981746673584,0.029147078511600727,0.00879277145506201
