variable,relative_importance,scaled_importance,percentage
Fare,699.719970703125,1.0,0.3162681528116679
Ticket,480.26019287109375,0.686360562766983,0.21707398734909056
Cabin,406.3194580078125,0.5806886683533068,0.18365333249876759
Age,293.84326171875,0.4199440833787791,0.13281493953439552
PassengerId,96.53624725341797,0.13796411606833509,0.04363365614322689
SibSp,71.97909545898438,0.10286843090480183,0.03253400862489637
Parch,62.45566940307617,0.0892580918339612,0.028229491827821127
Embarked,51.41444778442383,0.07347860563813718,0.023238942876350654
Sex,28.373083114624023,0.040549197254028446,0.012824419713527534
Survived,21.52484703063965,0.03076208759485606,0.00972906862025585
