variable,relative_importance,scaled_importance,percentage
Fare,631.6770629882812,1.0,0.403231820653336
Cabin,523.0917358398438,0.8280999366436518,0.3339162451357319
Ticket,270.08563232421875,0.4275691617588928,0.1724094915512591
SibSp,55.192317962646484,0.087374263205866,0.035232083230745136
Age,37.02342987060547,0.05861132537480203,0.023633951441786493
Parch,24.8267822265625,0.03930296615348701,0.01584820659914701
Embarked,8.968557357788086,0.014198010159432476,0.005725089486242519
Survived,8.337615966796875,0.013199174792502403,0.005322327282702362
PassengerId,5.851718425750732,0.009263781714770436,0.0037354515669819656
Sex,1.4808980226516724,0.002344391002019248,0.0009453330520675201
