variable,relative_importance,scaled_importance,percentage
Ticket,2766.57275390625,1.0,0.2907785888603667
Cabin,2643.251953125,0.9554247035046782,0.2778170470474246
Fare,1280.7275390625,0.46292928217925317,0.13460992341422576
Age,1029.3729248046875,0.3720751327978883,0.10819148206500351
PassengerId,762.5863647460938,0.27564298233956197,0.08015107743396081
Pclass,441.3379211425781,0.15952514551422262,0.04638649670037031
SibSp,172.57162475585938,0.06237740341807301,0.018138013342681083
Sex,157.68641662597656,0.05699702507491695,0.016573514520523285
Survived,147.53890991210938,0.05332912705938872,0.015506968311484251
Parch,112.71558380126953,0.04074195541834975,0.011846888303959711
