variable,relative_importance,scaled_importance,percentage
Sex,204.99319458007812,1.0,0.3004195337918814
Cabin,178.29559326171875,0.86976347496292,0.26129393765756714
Age,68.64907836914062,0.33488467024364404,0.10060589650864349
Fare,50.68989181518555,0.24727597381475097,0.07428653277136096
PassengerId,50.16013717651367,0.24469171905567438,0.07351017216143974
Ticket,46.80463409423828,0.22832286793771886,0.0685926495398748
Pclass,43.093177795410156,0.21021760202178968,0.06315347399423332
SibSp,19.224599838256836,0.09378164908175514,0.028173839295374703
Embarked,11.749863624572754,0.05731831073047067,0.017219540187386192
Parch,8.696239471435547,0.04242208864176935,0.012744424092238218
