variable,relative_importance,scaled_importance,percentage
Fare,653.7322998046875,1.0,0.3777708478989398
Cabin,480.3545227050781,0.7347878066428588,0.277581412741275
Ticket,423.6561584472656,0.6480575589944682,0.24481725354865744
Age,54.50221633911133,0.0833708482132437,0.03149507601957088
SibSp,46.421630859375,0.0710101533506057,0.026825565840692057
Parch,23.646831512451172,0.036172040940176925,0.0136647425762058
Embarked,19.370975494384766,0.0296313575146465,0.011193863052704629
Survived,17.80098533630371,0.027229777910043648,0.010286616289177009
PassengerId,8.426666259765625,0.012890087062063814,0.004869499118927001
Sex,2.5873095989227295,0.003957750901547511,0.0014951229138503964
