variable,relative_importance,scaled_importance,percentage
Survived,332.0682373046875,1.0,0.26481398162837383
Fare,178.725830078125,0.5382201909125565,0.1425282317483376
Age,174.004638671875,0.5240026570569528,0.13876322999909899
Cabin,145.34986877441406,0.4377108450786548,0.1159119516871989
PassengerId,127.86023712158203,0.38504205689586785,0.10196452018097363
Ticket,96.3021469116211,0.2900071012310026,0.07679793517748466
SibSp,62.54158020019531,0.188339543425861,0.049874944392672274
Parch,49.22475814819336,0.14823687609431743,0.03925519738268811
Embarked,45.038570404052734,0.13563046791111139,0.0359168442376608
Pclass,42.85205078125,0.12904591878184157,0.03417316356551122
