variable,relative_importance,scaled_importance,percentage
Cabin,1519.543701171875,1.0,0.23677949129024106
Sex,1385.603759765625,0.9118551567138509,0.21590860013708865
Age,740.969970703125,0.48762662773810816,0.11545998485540501
Fare,726.8275146484375,0.47831958639156397,0.11325626833995303
PassengerId,629.4213256835938,0.4142173240547033,0.09807816727327758
Ticket,570.5059204101562,0.37544554985169626,0.08889780630106948
Pclass,381.12213134765625,0.2508135376782742,0.05938750186016747
SibSp,173.83123779296875,0.11439699803231047,0.02708686299922118
Embarked,155.92840576171875,0.10261528223338787,0.024297194325826093
Parch,133.7938232421875,0.08804868404837943,0.020848122617750445
