variable,relative_importance,scaled_importance,percentage
Survived,237.16741943359375,1.0,0.28168435402346187
Age,112.76167297363281,0.4754517852533526,0.13392732899839233
Cabin,112.54574584960938,0.47454134348804133,0.13367087179785464
Fare,108.52127838134766,0.457572455105847,0.12889100143542
PassengerId,102.43707275390625,0.4319188234140582,0.12166477476396266
Ticket,49.602603912353516,0.20914594437471676,0.058913140237818976
SibSp,47.375301361083984,0.19975467740984948,0.056267767269358455
Embarked,29.35765266418457,0.12378450941658382,0.034868159573121546
Parch,21.872051239013672,0.0922219893914973,0.025977491508502468
Pclass,20.320837020874023,0.0856814020635908,0.024135110392107084
