variable,relative_importance,scaled_importance,percentage
Fare,2544.427978515625,1.0,0.34042128240775926
Ticket,1357.144775390625,0.5333791275877887,0.1815736066229669
Age,1025.5732421875,0.40306632801051084,0.13721235627672465
Cabin,984.34716796875,0.3868638359113631,0.13169668313813115
PassengerId,298.617431640625,0.1173613221368652,0.039952291786901795
p1,286.2123718261719,0.1124859395678958,0.038292607800544796
p0,270.82012939453125,0.1064365474995771,0.03623326599486042
Embarked,239.7574920654297,0.09422844509251939,0.03207736811768458
SibSp,226.8109893798828,0.08914026700500298,0.030345244008013184
Parch,162.5154266357422,0.06387110502162881,0.02174308348026355
Sex,51.11795425415039,0.02009015569934572,0.006839116566942823
predict,27.005529403686523,0.010613595523910675,0.003613093799206925
