variable,relative_importance,scaled_importance,percentage
Sex,284.4483642578125,1.0,0.23289240691276167
Age,209.51394653320312,0.7365623180146262,0.17153977108366927
Cabin,154.93423461914062,0.5446831625254646,0.1268525727254104
PassengerId,151.2042694091797,0.5315701842888232,0.12379865966208431
Fare,144.0718994140625,0.506495791564762,0.11795902398870187
Ticket,130.5575408935547,0.45898502961761667,0.10689412828457194
SibSp,57.28477478027344,0.20138901107672685,0.04690197151543974
Pclass,36.03668975830078,0.12668974157164983,0.02950507884577729
Embarked,27.38206672668457,0.09626375176433277,0.022419096846848067
Parch,25.938640594482422,0.09118927669758961,0.021237290134735454
