variable,relative_importance,scaled_importance,percentage
Fare,699.719970703125,1.0,0.31626814435929945
Ticket,480.26019287109375,0.686360562766983,0.2170739815477182
Cabin,406.31951904296875,0.580688755581282,0.18365335517800285
Age,293.84326171875,0.4199440833787791,0.1328149359848734
PassengerId,96.53624725341797,0.13796411606833509,0.04363365497710335
SibSp,71.97909545898438,0.10286843090480183,0.03253400775541449
Parch,62.45566940307617,0.0892580918339612,0.02822949107337885
Embarked,51.41444778442383,0.07347860563813718,0.02323894225528241
Sex,28.373083114624023,0.040549197254028446,0.01282441937079078
Survived,21.524845123291016,0.030762084868981836,0.009729067498136169
