variable,relative_importance,scaled_importance,percentage
Fare,3617.94921875,1.0,0.32597032169315754
Ticket,2724.24169921875,0.7529795291488294,0.2454489793450062
Cabin,2212.175048828125,0.6114444717365134,0.19931275114945404
Age,1018.2835083007812,0.28145323406518064,0.09174540124980651
Survived,341.8956298828125,0.09449984209588694,0.030804143927948856
SibSp,320.08746337890625,0.0884720718909085,0.028839269735139606
PassengerId,305.87908935546875,0.084544881882325,0.02755912234469149
Embarked,231.92478942871094,0.06410393717710633,0.020895981023419313
Parch,231.1425323486328,0.06388772157186122,0.020825501153022483
Sex,95.43518829345703,0.02637825533837367,0.008598528378353915
