variable,relative_importance,scaled_importance,percentage
Fare,687.9654541015625,1.0,0.41878184655511824
Cabin,389.47711181640625,0.5661288797197493,0.2370844976372171
Ticket,283.36016845703125,0.411881391380445,0.17248844964399412
Age,59.88628005981445,0.08704838259360273,0.036454282402185366
SibSp,56.55693435668945,0.08220897433076647,0.0344276260736407
PassengerId,52.45705795288086,0.07624955241595134,0.031931928359753385
Embarked,48.59428024291992,0.07063476800064161,0.029580558574301072
Survived,29.12027359008789,0.04232810443675118,0.017726241737200554
Sex,22.04592514038086,0.0320451048943604,0.013419908200712708
Parch,13.314155578613281,0.01935294206887276,0.008104660815876765
