variable,relative_importance,scaled_importance,percentage
Sex,823.4609985351562,1.0,0.23520426741515946
Cabin,630.1334228515625,0.7652255832061244,0.17998432270533463
Age,466.9212951660156,0.5670229628320171,0.13336622058047778
PassengerId,404.400390625,0.49109841430788154,0.11550844276603174
Fare,323.9687194824219,0.393423270875883,0.0925348322104379
Ticket,297.0101623535156,0.3606851604166597,0.08483468892331972
Pclass,290.87506103515625,0.35323477560271827,0.08308232662119559
Embarked,89.99606323242188,0.10929001299699034,0.02570547744275037
SibSp,89.36260223388672,0.10852074645047265,0.025524542668229684
Parch,84.91744995117188,0.1031226130954962,0.02425487866706311
