variable,relative_importance,scaled_importance,percentage
Fare,4012.289794921875,1.0,0.34669559789205845
Cabin,2901.918212890625,0.7232573819975358,0.2507501504814806
Ticket,2883.13720703125,0.7185765122649593,0.24912731355089016
Age,760.99951171875,0.1896671353803764,0.06575676090117359
SibSp,261.67791748046875,0.06521909703821979,0.02261117384164579
PassengerId,232.12890625,0.05785447166448252,0.02005789064444692
Embarked,171.6240234375,0.042774583145692685,0.014829759678279493
Parch,170.93508911132812,0.04260287712210391,0.014770229955769713
Survived,131.98048400878906,0.03289405570251411,0.011404224308877803
Sex,46.255897521972656,0.011528553490955737,0.003996898745377476
