variable,relative_importance,scaled_importance,percentage
Age,1917.0313720703125,1.0,0.23888481336747236
Cabin,1862.823486328125,0.9717230054072379,0.23212986879158737
Fare,1201.3636474609375,0.6266791795710238,0.1497041388531047
SibSp,988.8056030273438,0.515800428429857,0.12321688908032867
PassengerId,714.6358032226562,0.37278252908865017,0.08905208488799654
Ticket,604.380859375,0.3152691542665232,0.07531301307747924
Pclass,277.12603759765625,0.14455999084583154,0.03453318643360998
Sex,209.0795135498047,0.10906421073537659,0.026053783626591113
Survived,130.74493408203125,0.0682017707101122,0.016292367267416296
Embarked,118.92813873291016,0.06203765909395255,0.014819854614413729
