variable,relative_importance,scaled_importance,percentage
Sex,1165.3192138671875,1.0,0.257113178719937
Cabin,892.0867309570312,0.76552992548418,0.19682783254647404
Age,581.4593505859375,0.4989700192587805,0.12829176773757325
PassengerId,450.4925231933594,0.38658293610243555,0.0993955675401835
Fare,421.85235595703125,0.36200583577188844,0.09307647115047772
Ticket,384.9187316894531,0.3303118382576696,0.08492752670325514
Pclass,276.793212890625,0.23752565785993415,0.06107097691991186
SibSp,135.4119873046875,0.11620162586637015,0.029876969398927283
Embarked,117.48259735107422,0.10081580733677306,0.02592107268957447
Parch,106.50334167480469,0.09139413510686607,0.023498636593685725
