variable,relative_importance,scaled_importance,percentage
Sex,407.55645751953125,1.0,0.26832636772383484
Age,225.34803771972656,0.5529247140168972,0.1483642801368942
Cabin,201.68545532226562,0.49486507108674704,0.13278534703810416
PassengerId,201.20162963867188,0.49367793326898696,0.132466806659477
Fare,142.48373413085938,0.3496048989090822,0.0938082126627325
Ticket,140.04061889648438,0.34361035462129375,0.09219971836783056
SibSp,65.64421081542969,0.16106777258530822,0.04321873037518442
Pclass,58.475711822509766,0.14347880089645604,0.03849914548991735
Parch,38.632720947265625,0.0947910902513776,0.025434948939734362
Embarked,37.81479263305664,0.09278418225343528,0.02489644260629059
