variable,relative_importance,scaled_importance,percentage
Survived,402.02471923828125,1.0,0.23997512034953453
Fare,283.03839111328125,0.704032308385305,0.16895023793472413
Age,235.35023498535156,0.5854123483532832,0.14048439875018276
PassengerId,218.07305908203125,0.5424369414279192,0.13017137030119832
Cabin,158.12913513183594,0.3933318713124014,0.09438986315550114
Ticket,137.84799194335938,0.34288436841530745,0.08228371757643754
SibSp,99.57954406738281,0.24769507769586108,0.059440656080051564
Embarked,56.44560623168945,0.14040332230972588,0.03369330416875095
Pclass,43.09238815307617,0.10718840432181283,0.025722550227201598
Parch,41.695594787597656,0.10371400760281249,0.024888781456417465
