variable,relative_importance,scaled_importance,percentage
Sex,243.5084228515625,1.0,0.3857105383311096
Cabin,161.35693359375,0.6626338904593445,0.25558487460551127
Pclass,55.249603271484375,0.22688990641265558,0.08751382794432046
Age,48.012168884277344,0.19716841135119392,0.07604993408415867
Fare,40.45362091064453,0.16612822027640575,0.06407740527480162
Ticket,31.90547752380371,0.13102412290375928,0.05053738497957046
PassengerId,22.578536987304688,0.09272179057669835,0.03576377175836273
SibSp,16.57191276550293,0.06805478254690521,0.02624944681217341
Embarked,9.488443374633789,0.03896556539408799,0.015029429204529732
Parch,2.1991467475891113,0.009031091088498666,0.0034833870054621074
