variable,relative_importance,scaled_importance,percentage
Sex,233.92259216308594,1.0,0.3519078384802557
Cabin,126.6007080078125,0.5412076996801964,0.19045523176332932
Ticket,67.23395538330078,0.28741967486589187,0.10114523651875389
Fare,60.126380920410156,0.25703537381498964,0.09045276281219752
Pclass,50.08253860473633,0.2140987672102224,0.0753430343902368
Age,39.22294998168945,0.1676749116833659,0.05900611573786107
PassengerId,36.713417053222656,0.15694686312139886,0.05523083135730803
Parch,22.917776107788086,0.09797162341553693,0.034476982228563206
SibSp,17.163806915283203,0.07337387447945581,0.025820841568986896
Embarked,10.7427339553833,0.04592431135464543,0.01616112514250754
