variable,relative_importance,scaled_importance,percentage
Sex,258.8111572265625,1.0,0.25210273549789536
Cabin,156.4008331298828,0.6043048329364332,0.15234690145787347
PassengerId,130.34449768066406,0.5036278152667154,0.12696594990156765
Age,129.71371459960938,0.5011905823134911,0.1263515168070142
Ticket,107.57793426513672,0.4156618880652171,0.1047894990234612
Fare,102.27224731445312,0.39516166308442535,0.09962133622748132
Embarked,40.29376220703125,0.15568788702473987,0.03924934220282421
SibSp,39.10772705078125,0.15110525940945607,0.03809404924524297
Pclass,35.2149543762207,0.13606428236551502,0.03430217778790438
Parch,26.873044967651367,0.1038326371073979,0.026176491848735287
