variable,relative_importance,scaled_importance,percentage
Cabin,2634.841796875,1.0,0.3522023990451388
Ticket,1839.111572265625,0.6979969630233077,0.24583620490303
Fare,1076.5184326171875,0.40857042494694373,0.14389948384520537
Age,741.3436279296875,0.2813617230487777,0.09909627385725342
PassengerId,527.1259765625,0.20005982036101255,0.07046154868368812
Pclass,304.93951416015625,0.11573351937935078,0.0407616231753444
SibSp,100.82344818115234,0.03826546561570866,0.01347718879043186
Survived,91.4098892211914,0.034692742968327826,0.012218867302901427
Parch,87.81207275390625,0.033327265742502624,0.011737942948124292
Sex,77.11810302734375,0.029268589529287143,0.01030846744888236
