variable,relative_importance,scaled_importance,percentage
Cabin,1196.05322265625,1.0,0.24142823708265138
Sex,1037.4542236328125,0.867398042144635,0.20941438016392258
Fare,626.9655151367188,0.5241953311612044,0.1265555546892062
Age,538.63427734375,0.4503430676333334,0.10872553290110892
PassengerId,488.1986999511719,0.40817472893635764,0.09854490522879392
Ticket,447.2579040527344,0.37394481748850894,0.09028083805244454
Pclass,279.38226318359375,0.23358681527827732,0.05639445301838543
SibSp,128.1815643310547,0.10717045186867452,0.02587397326200523
Embarked,111.94396209716797,0.09359446551095583,0.022596346809003083
Parch,100.0018310546875,0.08360985043173817,0.020185778792478706
