variable,relative_importance,scaled_importance,percentage
Fare,717.0424194335938,1.0,0.41453038676524795
Cabin,509.8348693847656,0.7110246975171908,0.29474134286144454
Ticket,286.1546630859375,0.39907633820601135,0.16542926882539677
Age,80.99979400634766,0.11296374079281254,0.0468269031612938
SibSp,60.14889907836914,0.0838847151133429,0.03477276339962667
Parch,21.856159210205078,0.030480984970832965,0.0126352944889451
Embarked,19.260744094848633,0.026861373292340337,0.01113485545991954
Survived,15.520987510681152,0.021645842826065288,0.008972859598548611
PassengerId,10.481011390686035,0.014617003271529176,0.006059192019495884
Sex,8.470916748046875,0.011813689843814573,0.004897133420081136
