variable,relative_importance,scaled_importance,percentage
Sex,281.6350402832031,1.0,0.3356788871766705
Cabin,211.38595581054688,0.7505669592746129,0.25194948164087944
Age,93.52757263183594,0.3320878415476555,0.11147487709561948
PassengerId,60.26468276977539,0.2139814801069326,0.071829065118712
Fare,59.918701171875,0.2127530051360892,0.07141669200757489
Ticket,50.417301177978516,0.17901643604886844,0.060092038039217754
Pclass,44.61845016479492,0.15842648741409465,0.05318042699447209
SibSp,14.490225791931152,0.05145036561274566,0.0172708014737193
Embarked,14.129337310791016,0.05016896085296421,0.016840660949932973
Parch,8.61408519744873,0.030585985283602082,0.010267069503201567
