variable,relative_importance,scaled_importance,percentage
Ticket,2689.348388671875,1.0,0.2787243203699137
Cabin,2543.786376953125,0.9458746169399662,0.2636382597617445
Fare,1467.8709716796875,0.54580915505878,0.15213028579543528
Age,1127.590576171875,0.41928021706727686,0.11686359354662662
PassengerId,802.3878173828125,0.29835770655919697,0.08315954898783831
Pclass,367.93438720703125,0.13681172315080173,0.03813275455384399
SibSp,182.633056640625,0.06790977971092012,0.01892810719639676
Sex,180.0030517578125,0.06693184583894925,0.018655533242564963
Survived,150.90586853027344,0.05611242826177599,0.015639898431569047
Parch,136.3149871826172,0.05068699457340886,0.014127698114066885
