variable,relative_importance,scaled_importance,percentage
Fare,2590.030517578125,1.0,0.3487674951266385
Ticket,1425.597412109375,0.5504172257562496,0.1919676371015607
Cabin,1300.2191162109375,0.5020091876858428,0.17508448691974995
Age,779.3507080078125,0.30090406376237006,0.10494555659182814
p1,322.80084228515625,0.12463206131910735,0.04346761183873469
p0,275.0721435546875,0.10620420944379483,0.03704057609961721
PassengerId,235.23094177246094,0.09082168730290473,0.031675652383808914
Embarked,192.16441345214844,0.07419388001336631,0.025876413685988135
SibSp,134.93136596679688,0.05209643865237848,0.018169544413808636
Parch,116.81861114501953,0.04510317942286402,0.01573052290955963
Sex,27.227426528930664,0.010512396029368168,0.003666382030941957
predict,26.79476547241211,0.010345347396704518,0.0036081208977635252
