variable,relative_importance,scaled_importance,percentage
Cabin,3014.800537109375,1.0,0.2982125184512215
Age,2057.39501953125,0.6824315553240228,0.2035096327837609
Fare,1732.6055908203125,0.5746999078358778,0.17138270686942197
SibSp,1143.7398681640625,0.37937497160614586,0.1131343657200294
PassengerId,778.8654174804688,0.2583472464905601,0.07704238301088842
Ticket,705.9463500976562,0.23416021770200612,0.06982950824200154
Pclass,241.3152313232422,0.0800435147708372,0.023869978125498906
Sex,173.75575256347656,0.05763424492755184,0.01718725332887977
Survived,131.5640869140625,0.043639400117729724,0.013013815412808712
Embarked,129.5828399658203,0.04298222664178832,0.012817838055488882
